# Single SKU Max Power Table (unit is 1 dBm)                                                   
# 2.4G Channel                                                   
Band: 2.4G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch1 6 30 30                                                
Ch2 6 30 30                                                
Ch3 6 30 30                                                
Ch4 6 30 30                                                
Ch5 6 30 30                                                
Ch6 6 30 30                                                
Ch7 6 30 30                                                
Ch8 6 30 30                                                
Ch9 6 30 30                                                
Ch10 6 30 30                                                
Ch11 6 30 30                                                
Ch12 6 30 30                                                
Ch13 6 30 30                                                
Ch14 6 30 30                                                
                                                   
# 5G Channel                                                   
Band: 5G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch184 8 30 15                                                
Ch188 8 30 15                                                
Ch192 8 30 15                                                
Ch196 8 30 15                                                
Ch8 8 30 15                                                
Ch12 8 30 15                                                
Ch16 7 30 15                                                
Ch36 8 30 15                                                
Ch40 8 30 15                                                
Ch44 8 30 15                                                
Ch48 8 30 15                                                
Ch52 8 30 15                                                
Ch56 8 30 15                                                
Ch60 8 30 15                                                
Ch64 5 30 15                                                
Ch68 8 30 15                                                
Ch72 8 30 15                                                
Ch76 8 30 15                                                
Ch80 8 30 15                                                
Ch84 8 30 15                                                
Ch88 8 30 15                                                
Ch92 8 30 15                                                
Ch96 8 30 15                                                
Ch100 7 30 22                                                
Ch104 8 30 22                                                
Ch108 8 30 22                                                
Ch112 8 30 22                                                
Ch116 8 30 22                                                
Ch120 8 30 22                                                
Ch124 8 30 22                                                
Ch128 8 30 22                                                
Ch132 8 30 22                                                
Ch136 8 30 22                                                
Ch140 12 30 22                                                
Ch144 8 30 22                                                
Ch149 8 30 22                                                
Ch153 8 30 22                                                
Ch157 8 30 22                                                
Ch161 8 30 22                                                
Ch165 8 30 22                                                
Ch169 8 30 22                                                
Ch173 8 30 22                                                
Ch177 8 30 22                                                
Ch181 8 30 22                                                
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
