# SKU Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,RU26,,,,,,,,,,,,RU52,,,,,,,,,,,,RU106,,,,,,,,,,,,RU242,,,,,,,,,,,,RU484,,,,,,,,,,,,RU996,,,,,,,,,,,,RU996X2,,,,,,,,,,,
Band: 2.4G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,HT40_MCS32,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
Ch1,21.5,21.5,21.5,21.5,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,17.5,17.5,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15,15,15,15,15,15,15,15,15,15,15,15,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch2,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,15,15,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch3,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,15,15,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch4,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,15,15,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch5,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,15,15,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch6,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17.5,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch7,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17.5,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch8,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17.5,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,17.5,17.5,17,17,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,17.5,17.5,17,17,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,17.5,17.5,17,17,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,17.5,17.5,17,17,21,21,21,20,20,20,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch9,18.5,18.5,18.5,18.5,21,21,21,21,21,21,20,20,19,19,19,19,19,19,19,19,17.5,17.5,17,17,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,18,18,18,18,18,18,18,18,17.5,17.5,17,17,18,18,18,18,18,18,18,18,17.5,17.5,17,17,18,18,18,18,18,18,18,18,17.5,17.5,17,17,18,18,18,18,18,18,18,18,17.5,17.5,17,17,14,14,14,14,14,14,14,14,14,14,14,14,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
Ch10,18.5,18.5,18.5,18.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17,17,17,17,17,17,17,17,17,17,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17,17,14,14,14,14,14,14,14,14,14,14,14,14,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17,21,21,21,20,20,19.5,19.5,19,17.5,17.5,17,17
